time,height,w,temperature,qv,vapour_pressure,cloud_mass,rain_mass,surface_rain_rate,liquid_water_path,cond_rate,n_droplets,activated_fraction,S,Sc,droplet_radius,dr_dt
933.0,763.9432905087347,0.0,283.15,0.008618379565118415,1229.9897856667403,1.6204348816518727e-06,0.0,0.0,1.6204348816518727e-06,1.049487273625274e-10,75578.81859130487,0.0007557881859130487,0.0022981226704653452,0.002296387088233775,6.01193833803447e-06,3.0588569996556565e-09
933.5,763.9432905087347,0.0,283.15,0.00861837951281287,1229.989778280102,1.6204871871964244e-06,0.0,0.0,1.6204871871964244e-06,1.0461108910344064e-10,75316.7004064525,0.000753167004064525,0.0022981166512171924,0.002296387088233775,6.013467373445015e-06,3.058070821090335e-09
934.0,763.9432905087347,0.0,283.15,0.008618379460675653,1229.989770917228,1.6205393244129348e-06,0.0,0.0,1.6205393244129348e-06,1.04274433020684e-10,75055.4255125215,0.000750554255125215,0.0022981106513342633,0.002296387088233775,6.014996016079036e-06,3.0572852680402442e-09
934.5,763.9432905087347,0.0,283.15,0.008618379408706274,1229.9897635780487,1.6205912937912466e-06,0.0,0.0,1.6205912937912466e-06,1.0393875662364712e-10,74794.99143252749,0.0007479499143252749,0.002298104670759677,0.002296387088233775,6.016524266248855e-06,3.0565003396397664e-09
935.0,763.9432905087347,0.0,283.15,0.008618379356904246,1229.9897562624958,1.6206430958199947e-06,0.0,0.0,1.6206430958199947e-06,1.03604057496283e-10,74535.39574591554,0.0007453539574591554,0.002298098709437848,0.002296387088233775,6.0180521242663686e-06,3.0557160350265183e-09
935.5,763.9432905087347,0.0,283.15,0.00861837930526908,1229.9897489705,1.620694730986576e-06,0.0,0.0,1.620694730986576e-06,1.0327033316259266e-10,74276.6359918105,0.000742766359918105,0.0022980927673122652,0.002296387088233775,6.019579590443038e-06,3.0549323533383846e-09
936.0,763.9432905087347,0.0,283.15,0.008618379253800289,1229.9897417019927,1.6207461997771699e-06,0.0,0.0,1.6207461997771699e-06,1.0293758118756458e-10,74018.70974159343,0.0007401870974159343,0.002298086844327158,0.002296387088233775,6.021106665089895e-06,3.0541492937157364e-09
936.5,763.9432905087347,0.0,283.15,0.00861837920249739,1229.9897344569056,1.620797502676736e-06,0.0,0.0,1.620797502676736e-06,1.026057991323823e-10,73761.6145666831,0.000737616145666831,0.002298080940426757,0.002296387088233775,6.022633348517546e-06,3.0533668553004406e-09
937.0,763.9432905087347,0.0,283.15,0.008618379151359898,1229.9897272351704,1.6208486401690187e-06,0.0,0.0,1.6208486401690187e-06,1.0227498456555091e-10,73505.3480465246,0.000735053480465246,0.0022980750555554766,0.002296387088233775,6.0241596410361635e-06,3.0525850372361004e-09
937.5,763.9432905087347,0.0,283.15,0.00861837910038733,1229.9897200367193,1.6208996127365503e-06,0.0,0.0,1.6208996127365503e-06,1.019451350629921e-10,73249.90776864595,0.0007324990776864595,0.002298069189657917,0.002296387088233775,6.025685542955497e-06,3.051803838668055e-09
938.0,763.9432905087347,0.0,283.15,0.008618379049579206,1229.9897128614837,1.6209504208606375e-06,0.0,0.0,1.6209504208606375e-06,1.01616248174332e-10,72995.29130444703,0.0007299529130444703,0.002298063342678309,0.002296387088233775,6.027211054584869e-06,3.051023258742636e-09
938.5,763.9432905087347,0.0,283.15,0.008618378998935045,1229.9897057093965,1.621001065021394e-06,0.0,0.0,1.621001065021394e-06,1.0128832151282377e-10,72741.49627374987,0.0007274149627374987,0.0022980575145619933,0.002296387088233775,6.028736176233173e-06,3.050243296609131e-09
939.0,763.9432905087347,0.0,283.15,0.008618378948454368,1229.9896985803898,1.6210515456977154e-06,0.0,0.0,1.6210515456977154e-06,1.0096135264290524e-10,72488.52026406357,0.0007248852026406357,0.0022980517052535706,0.002296387088233775,6.030260908208882e-06,3.049463951417321e-09
939.5,763.9432905087347,0.0,283.15,0.008618378898136698,1229.9896914743958,1.6211018633672836e-06,0.0,0.0,1.6211018633672836e-06,1.0063533913648969e-10,72236.36087099905,0.0007223636087099905,0.0022980459146978265,0.002296387088233775,6.0317852508200415e-06,3.0486852223187084e-09
940.0,763.9432905087347,0.0,283.15,0.00861837884798156,1229.9896843913482,1.6211520185065982e-06,0.0,0.0,1.6211520185065982e-06,1.0031027862915583e-10,71985.01573855158,0.0007198501573855158,0.002298040142840658,0.002296387088233775,6.033309204374275e-06,3.0479071084677383e-09
940.5,763.9432905087347,0.0,283.15,0.008618378797988475,1229.9896773311793,1.6212020115909465e-06,0.0,0.0,1.6212020115909465e-06,9.998616869653184e-11,71734.48247041498,0.0007173448247041498,0.002298034389627037,0.002296387088233775,6.034832769178785e-06,3.0471296090190954e-09
941.0,763.9432905087347,0.0,283.15,0.008618378748156972,1229.9896702938227,1.6212518430944242e-06,0.0,0.0,1.6212518430944242e-06,9.96630069554331e-11,71484.75870252048,0.0007148475870252048,0.0022980286550026746,0.002296387088233775,6.0363559455403495e-06,3.0463527231299084e-09
941.5,763.9432905087347,0.0,283.15,0.008618378698486575,1229.9896632792108,1.6213015134899168e-06,0.0,0.0,1.6213015134899168e-06,9.934079098514478e-11,71235.84204658821,0.0007123584204658821,0.0022980229389127273,0.002296387088233775,6.037878733765328e-06,3.045576449958029e-09
942.0,763.9432905087347,0.0,283.15,0.008618378648976816,1229.9896562872777,1.6213510232491255e-06,0.0,0.0,1.6213510232491255e-06,9.901951841753932e-11,70987.7301547152,0.000709877301547152,0.002298017241303278,0.002296387088233775,6.03940113415966e-06,3.044800788663993e-09
