time,height,w,temperature,qv,vapour_pressure,cloud_mass,rain_mass,surface_rain_rate,liquid_water_path,cond_rate,n_droplets,activated_fraction,S,Sc,droplet_radius,dr_dt
2458.5,763.9432905087347,0.0,283.2089999999986,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052919153893918484,0.002295669527448758,1e-06,0.0
2459.0,763.9432905087347,0.0,283.20949999999857,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052950844196782976,0.0022956634480220954,1e-06,0.0
2459.5,763.9432905087347,0.0,283.20999999999856,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05298253331428206,0.002295657368622265,1e-06,0.0
2460.0,763.9432905087347,0.0,283.21049999999855,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053014221246464426,0.0022956512892492666,1e-06,0.0
2460.5,763.9432905087347,0.0,283.21099999999853,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05304590799337894,0.002295645209903101,1e-06,0.0
2461.0,763.9432905087347,0.0,283.2114999999985,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05307759355507409,0.0022956391305837672,1e-06,0.0
2461.5,763.9432905087347,0.0,283.2119999999985,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05310927793159909,0.002295633051291266,1e-06,0.0
2462.0,763.9432905087347,0.0,283.2124999999985,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053140961123002095,0.0022956269720255957,1e-06,0.0
2462.5,763.9432905087347,0.0,283.2129999999985,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05317264312933246,0.002295620892786757,1e-06,0.0
2463.0,763.9432905087347,0.0,283.2134999999985,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053204323950638864,0.0022956148135747506,1e-06,0.0
2463.5,763.9432905087347,0.0,283.21399999999846,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05323600358696962,0.002295608734389575,1e-06,0.0
2464.0,763.9432905087347,0.0,283.21449999999845,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05326768203837375,0.0022956026552312316,1e-06,0.0
2464.5,763.9432905087347,0.0,283.21499999999844,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05329935930490008,0.002295596576099718,1e-06,0.0
2465.0,763.9432905087347,0.0,283.2154999999984,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05333103538659728,0.002295590496995036,1e-06,0.0
2465.5,763.9432905087347,0.0,283.2159999999984,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05336271028351399,0.002295584417917185,1e-06,0.0
2466.0,763.9432905087347,0.0,283.2164999999984,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05339438399569922,0.0022955783388661634,1e-06,0.0
2466.5,763.9432905087347,0.0,283.2169999999984,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05342605652320128,0.0022955722598419722,1e-06,0.0
2467.0,763.9432905087347,0.0,283.2174999999984,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05345772786606933,0.002295566180844611,1e-06,0.0
2467.5,763.9432905087347,0.0,283.21799999999837,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05348939802435167,0.0022955601018740807,1e-06,0.0
2468.0,763.9432905087347,0.0,283.21849999999836,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05352106699809781,0.002295554022930381,1e-06,0.0
2468.5,763.9432905087347,0.0,283.21899999999835,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05355273478735553,0.0022955479440135095,1e-06,0.0
2469.0,763.9432905087347,0.0,283.21949999999833,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05358440139217416,0.0022955418651234684,1e-06,0.0
