t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,cond_sink_kgm3s,dep_sink_kgm3s,R_BF,latent_heating_Ks,dT_dt_Ks,ice_active
3064.0,252.1954844222891,114.91417957005724,-0.00743254538493673,0.22013631904017722,0.0,985.777828660535,8.152378594658183e-06,0.00012450230736472327,0.0,2.391928262078285e-08,0.0,7.307506184235518e-06,0.0,4.2117365382267585e-09,0.0,4.2117365382267585e-09,4211.736538226759,1.1876677959536949e-05,0.0009984766181752763,1
3065.0,252.19648289890728,114.91415121089572,-0.007518944138799592,0.22001814211648466,0.0,985.7743286002581,8.152378594658183e-06,0.00012452621128812674,0.0,2.3903923403472814e-08,0.0,7.311690063808464e-06,0.0,4.210633506647336e-09,0.0,4.210633506647336e-09,4210.633506647337,1.1873567520237364e-05,0.0010132941452215436,1
3066.0,252.1974961930525,114.91412971854616,-0.007606552685388407,0.21989830263609395,0.0,985.7707757306973,8.152378594658183e-06,0.00012455009970922616,0.0,2.388842109942256e-08,0.0,7.315872406354469e-06,0.0,4.209502228275507e-09,0.0,4.209502228275507e-09,4209.502228275507,1.1870377427793817e-05,0.0010280841381636657,1
3067.0,252.19852427719067,114.91411508347798,-0.0076953683751735434,0.2197768042819941,0.0,985.7671701098616,8.152378594658183e-06,0.0001245739724852899,0.0,2.387277606372e-08,0.0,7.3200531836452855e-06,0.0,4.208342728614188e-09,0.0,4.208342728614188e-09,4208.342728614188,1.1867107754121998e-05,0.001042846191510972,1
3068.0,252.1995671233822,114.91410729597341,-0.00778538852130585,0.2196536507890147,0.0,985.7635117967002,8.152378594658183e-06,0.00012459782947394455,0.0,2.385698865465811e-08,0.0,7.324232367486887e-06,0.0,4.2071550339106214e-09,0.0,4.2071550339106214e-09,4207.155033910622,1.1863758573236518e-05,0.001057579900538678,1
3069.0,252.20062470328273,114.91410634612784,-0.007876610399726496,0.2195288459436531,0.0,985.7598008511061,8.152378594658183e-06,0.00012462167053317827,0.0,2.384105923372613e-08,0.0,7.328409929720245e-06,0.0,4.205939171156557e-09,0.0,4.205939171156557e-09,4205.939171156558,1.1860329961251427e-05,0.001072284861299023,1
3070.0,252.20169698814402,114.91411222385004,-0.007969031249291405,0.21940239358392075,0.0,985.7560373339159,8.152378594658183e-06,0.00012464549552134387,0.0,2.3824988165602733e-08,0.0,7.332585842222119e-06,0.0,4.204695168088765e-09,0.0,4.204695168088765e-09,4204.695168088765,1.1856821996381651e-05,0.0010869606706322766,1
3071.0,252.20278394881464,114.91412491886248,-0.00806264827188084,0.21927429759915415,0.0,985.752221306914,8.152378594658183e-06,0.000124669304297162,0.0,2.3808775818146096e-08,0.0,7.33676007690583e-06,0.0,4.203423053189004e-09,0.0,4.203423053189004e-09,4203.423053189004,1.1853234758942923e-05,0.0011016069261778761,1
3072.0,252.2038855557408,114.9141444207016,-0.008157458632522227,0.21914456192985635,0.0,985.7483528328332,8.152378594658183e-06,0.0001246930967197244,0.0,2.3792422562386937e-08,0.0,7.340932605722051e-06,0.0,4.202122855684484e-09,0.0,4.202122855684484e-09,4202.122855684484,1.1849568331353063e-05,0.0011162232263853891,1
3073.0,252.2050017789672,114.9141707187181,-0.00825345945950784,0.21901319056753515,0.0,985.7444319753581,8.152378594658183e-06,0.00012471687264849692,0.0,2.3775928772521455e-08,0.0,7.3451034006595785e-06,0.0,4.200794605548314e-09,0.0,4.200794605548314e-09,4200.7946055483135,1.1845822798133255e-05,0.0011308091705255565,1
3074.0,252.2061325881377,114.91420380207724,-0.008350647844517804,0.21888018755451388,0.0,985.7404587991251,8.152378594658183e-06,0.00012474063194332281,0.0,2.3759294825901906e-08,0.0,7.349272433746118e-06,0.0,4.199438333499508e-09,0.0,4.199438333499508e-09,4199.438333499508,1.1841998245908065e-05,0.0011453643587013098,1
3075.0,252.2072779524964,114.91424365975915,-0.008449020842744489,0.2187455569837463,0.0,985.7364333697268,8.152378594658183e-06,0.00012476437446442583,0.0,2.3742521103027697e-08,0.0,7.353439677049078e-06,0.0,4.19805407100309e-09,0.0,4.19805407100309e-09,4198.05407100309,1.1838094763405728e-05,0.0011598883918586696,1
3076.0,252.20843784088828,114.91429028055914,-0.008548575473013813,0.21860930299867348,0.0,985.7323557537128,8.152378594658183e-06,0.00012478810007241338,0.0,2.3725607987540563e-08,0.0,7.357605102676345e-06,0.0,4.196641850270885e-09,0.0,4.196641850270885e-09,4196.641850270886,1.1834112441460387e-05,0.0011743808717977677,1
3077.0,252.20961222176007,114.91434365308803,-0.008649308717911327,0.21847142979300477,0.0,985.7282260185922,8.152378594658183e-06,0.0001248118086282796,0.0,2.3708555866212835e-08,0.0,7.3617686827770605e-06,0.0,4.195201704261093e-09,0.0,4.195201704261093e-09,4195.201704261093,1.1830051373010884e-05,0.001188841401183688,1
3078.0,252.21080106316126,114.91440376577238,-0.008751217523917816,0.2183319416105686,0.0,985.7240442328357,8.152378594658183e-06,0.00012483549999340855,0.0,2.369136512894247e-08,0.0,7.3659303895424146e-06,0.0,4.193733666679039e-09,0.0,4.193733666679039e-09,4193.733666679039,1.1825911653102882e-05,0.0012032695835574416,1
3079.0,252.2120043327448,114.91447060685493,-0.008854298801525967,0.21819084274508063,0.0,985.7198104658777,8.152378594658183e-06,0.0001248591740295773,0.0,2.3674036168740404e-08,0.0,7.370090195206427e-06,0.0,4.192237771976554e-09,0.0,4.192237771976554e-09,4192.237771976554,1.1821693378887117e-05,0.0012176650233467682,1
3080.0,252.21322199776816,114.91454416439487,-0.008958549425380012,0.2180481375400215,0.0,985.7155247881192,8.152378594658183e-06,0.000124882830598959,0.0,2.3656569381728367e-08,0.0,7.374248072046739e-06,0.0,4.190714055353206e-09,0.0,4.190714055353206e-09,4190.714055353206,1.1817396649622871e-05,0.0012320273258770282,1
3081.0,252.21445402509403,114.91462442626816,-0.009063966234401763,0.21790383038838862,0.0,985.7111872709293,8.152378594658183e-06,0.00012490646956412615,0.0,2.3638965167125122e-08,0.0,7.3784039923853945e-06,0.0,4.189162552755453e-09,0.0,4.189162552755453e-09,4189.162552755452,1.1813021566675575e-05,0.001246356097382001,1
3082.0,252.2157003811914,114.9147113801679,-0.009170546031928418,0.21775792573255218,0.0,985.706797986647,8.152378594658183e-06,0.00012493009078805338,0.0,2.3621223927242532e-08,0.0,7.382557928589613e-06,0.0,4.187583300877522e-09,0.0,4.187583300877522e-09,4187.583300877523,1.1808568233519303e-05,0.001260650945014716,1
3083.0,252.21696103213642,114.91480501360464,-0.009278285585846457,0.2176104280640254,0.0,985.7023570085848,8.152378594658183e-06,0.00012495369413412086,0.0,2.3603346067473878e-08,0.0,7.386709853072597e-06,0.0,4.185976337160933e-09,0.0,4.185976337160933e-09,4185.976337160933,1.1804036755735405e-05,0.0012749114768582058,1
3084.0,252.21823594361328,114.91490531390673,-0.00938718162871919,0.21746134192328595,0.0,985.6978644110307,8.152378594658183e-06,0.00012497727946611715,0.0,2.3585331996287e-08,0.0,7.390859738294299e-06,0.0,4.184341699794826e-09,0.0,4.184341699794826e-09,4184.341699794826,1.179942724101347e-05,0.0012891373019362326,1
