t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,cond_sink_kgm3s,dep_sink_kgm3s,R_BF,latent_heating_Ks,dT_dt_Ks,ice_active
1864.0,238.72824789398328,33.46601929950778,0.005148708847812205,0.4079091089198099,50003000.0,99950.25102676274,2.337964070617057e-05,0.00010541694659842159,1.0259795075408765e-09,1.4096400527995818e-08,0.0026766905687016546,0.0004497520300837994,3.5238732357307224e-07,1.8042311864216117e-07,3.5238732357307224e-07,1.8042311864216117e-07,0.5120022956919675,0.0013853606240443437,-0.018614639375955658,1
1864.5,238.7189405742953,33.43538636668071,0.005149218348347412,0.4080343401584657,50003000.0,99950.3665922052,2.3380153269258745e-05,0.00010542398946792744,1.0251261763467445e-09,1.4085739011718723e-08,0.0026768666196786387,0.00044984269955694194,3.521096732111029e-07,1.8031095847156575e-07,3.521096732111029e-07,1.8031095847156575e-07,0.512087489182561,0.0013843536709812682,-0.018615646329018732,1
1865.0,238.70963275113078,33.40477711074902,0.005149728384656012,0.40815958535207747,50003000.0,99950.48189555517,2.3380665406010632e-05,0.00010543102700948037,1.0242735037747292e-09,1.4075083105856538e-08,0.002677042531930794,0.0004499333118923552,3.518322108869258e-07,1.8019881632402343e-07,3.518322108869258e-07,1.8019881632402343e-07,0.512172594629026,0.0013833472364971114,-0.01861665276350289,1
1865.5,238.70032442474903,33.374191518075776,0.00515023895675675,0.40828484449542235,50003000.0,99950.59693738841,2.33811771167553e-05,0.00010543805922588531,1.0234214893336115e-09,1.4064432809878704e-08,0.00267721830555208,0.0004500238671011286,3.515549365017874e-07,1.8008669226714314e-07,3.515549365017874e-07,1.8008669226714314e-07,0.5122576120225453,0.001382341320536868,-0.018617658679463134,1
1866.0,238.69101559540928,33.34362957502712,0.005150750064664578,0.40841011758329243,50003000.0,99950.7117182795,2.3381688401821565e-05,0.00010544508611994694,1.0225701325317985e-09,1.405378812325275e-08,0.0026773939406364074,0.00045011436519438254,3.5127784995669273e-07,1.799745863684477e-07,3.5127784995669273e-07,1.799745863684477e-07,0.5123425413547591,0.001381335923044689,-0.01861866407695531,1
1866.5,238.6817062633708,33.313091267972325,0.005151261708394728,0.40853540461046367,50003000.0,99950.82623880182,2.3382199261538006e-05,0.00010545210769446967,1.0217194328781297e-09,1.404314904544351e-08,0.0026775694372776376,0.000450204806183267,3.5100095115268136e-07,1.7986249869536345e-07,3.5100095115268136e-07,1.7986249869536345e-07,0.5124273826173347,0.0013803310439645406,-0.018619668956035458,1
1867.0,238.6723964288928,33.28257658328374,0.005151773887966376,0.408660705571726,50003000.0,99950.9404995275,2.3382709696232948e-05,0.00010545912395225762,1.0208693898826005e-09,1.403251557591388e-08,0.00267774479556958,0.00045029519007896247,3.507242399910766e-07,1.7975042931523064e-07,3.507242399910766e-07,1.7975042931523064e-07,0.5125121358016315,0.0013793266832408508,-0.01862067331675915,1
1867.5,238.6630860922344,33.252085507336844,0.005152286603394465,0.4087860204618495,50003000.0,99951.05450102748,2.3383219706234474e-05,0.00010546613489611467,1.0200200030547465e-09,1.4021887714123969e-08,0.0026779200156059964,0.00045038551689267973,3.504477163729309e-07,1.7963837829529176e-07,3.504477163729309e-07,1.7963837829529176e-07,0.5125968008994773,0.0013783228408170986,-0.018621677159182903,1
1868.0,238.65377525365483,33.221618026510214,0.005152799854694872,0.4089113492756098,50003000.0,99951.16824387154,2.3383729291870427e-05,0.00010547314052884445,1.0191712719046642e-09,1.4011265459531738e-08,0.0026780950974806014,0.00045047578663565997,3.501713801993763e-07,1.7952634570270046e-07,3.501713801993763e-07,1.7952634570270046e-07,0.5126813779026828,0.0013773195166367103,-0.01862268048336329,1
1868.5,238.64446391341315,33.191174127185555,0.005153313641885704,0.40903669200777854,50003000.0,99951.28172862821,2.33842384534684e-05,0.00010548014085325025,1.0183231959432633e-09,1.4000648811592769e-08,0.002678270041287056,0.0004505659993191739,3.4989523137171134e-07,1.79414331604518e-07,3.4989523137171134e-07,1.79414331604518e-07,0.5127658668029034,0.001376316710643266,-0.018623683289356735,1
