time_s,w_mps
162.0,1.500222139260919
163.0,1.5071267846032756
164.0,1.5139901113035126
165.0,1.5208119312000616
166.0,1.5275920572692845
167.0,1.534330303630599
168.0,1.5410264855515785
169.0,1.5476804194530125
170.0,1.5542919229139418
171.0,1.5608608146766594
172.0,1.5673869146516795
173.0,1.5738700439226745
174.0,1.5803100247513806
175.0,1.5867066805824703
176.0,1.5930598360483923
177.0,1.5993693169741812
178.0,1.6056349503822291
179.0,1.6118565644970315
180.0,1.618033988749895
181.0,1.6241670537836124
182.0,1.6302555914571084
183.0,1.6362994348500468
184.0,1.6422984182674079
185.0,1.6482523772440312
186.0,1.6541611485491237
187.0,1.660024570190735
188.0,1.665842481420199
189.0,1.6716147227365405
190.0,1.677341135890848
191.0,1.6830215638906123
192.0,1.6886558510040302
193.0,1.6942438427642743
194.0,1.6997853859737277
195.0,1.7052803287081844
196.0,1.7107285203210132
197.0,1.7161298114472892
198.0,1.7214840540078873
199.0,1.7267911012135433
200.0,1.7320508075688774
201.0,1.7372630288763826
202.0,1.7424276222403787
203.0,1.7475444460709304
204.0,1.7526133600877272
205.0,1.7576342253239305
206.0,1.7626069041299843
207.0,1.7675312601773867
208.0,1.7724071584624295
209.0,1.7772344653098977
210.0,1.7820130483767356
211.0,1.7867427766556752
212.0,1.7914235204788258
213.0,1.796055151521231
214.0,1.800637542804387
215.0,1.805170568699721
216.0,1.8096541049320392
217.0,1.8140880285829297
218.0,1.8184722180941368
219.0,1.8228065532708906
220.0,1.8270909152852017
221.0,1.831325186679122
222.0,1.8355092513679623
223.0,1.8396429946434751
224.0,1.843726303177001
225.0,1.8477590650225735
226.0,1.8517411696199895
227.0,1.85567250779784
228.0,1.8595529717765027
229.0,1.8633824551710978
230.0,1.8671608529944035
231.0,1.8708880616597345
232.0,1.874563978983783
233.0,1.8781885041894182
234.0,1.881761537908451
235.0,1.8852829821843569
236.0,1.888752740474962
237.0,1.8921707176550906
238.0,1.8955368200191713
239.0,1.8988509552838075
240.0,1.902113032590307
241.0,1.9053229625071726
242.0,1.9084806570325537
243.0,1.9115860295966602
244.0,1.9146389950641345
245.0,1.917639469736386
246.0,1.9205873713538861
247.0,1.9234826190984227
248.0,1.9263251335953164
249.0,1.9291148369155962
250.0,1.9318516525781364
251.0,1.9345355055517537
252.0,1.9371663222572622
253.0,1.9397440305694935
254.0,1.9422685598192722
255.0,1.9447398407953531
256.0,1.9471578057463204
257.0,1.9495223883824435
258.0,1.9518335238774946
259.0,1.9540911488705273
260.0,1.9562952014676112
261.0,1.9584456212435315
262.0,1.9605423492434437
263.0,1.9625853279844903
264.0,1.9645745014573772
265.0,1.9665098151279092
266.0,1.9683912159384838
267.0,1.970218652309548
268.0,1.9719920741410097
269.0,1.9737114328136145
270.0,1.9753766811902755
271.0,1.976987773617367
272.0,1.9785446659259767
273.0,1.980047315433115
274.0,1.9814956809428872
275.0,1.9828897227476208
276.0,1.9842294026289558
277.0,1.985514683858891
278.0,1.986745531200793
279.0,1.9879219109103594
280.0,1.9890437907365466
281.0,1.9901111399224525
282.0,1.99112392920616
283.0,1.992082130821539
284.0,1.9929857184990087
285.0,1.993834667466256
286.0,1.9946289544489162
287.0,1.9953685576712106
288.0,1.9960534568565431
289.0,1.9966836332280566
290.0,1.9972590695091477
291.0,1.99777974992394
292.0,1.9982456601977168
293.0,1.9986567875573125
294.0,1.9990131207314632
295.0,1.9993146499511145
296.0,1.999561366949691
297.0,1.9997532649633212
298.0,1.9998903387310243
299.0,1.9999725844948535
300.0,2.0
301.0,1.9999725844948535
302.0,1.9998903387310243
303.0,1.9997532649633212
304.0,1.999561366949691
305.0,1.9993146499511145
306.0,1.9990131207314632
307.0,1.9986567875573125
308.0,1.9982456601977168
309.0,1.99777974992394
310.0,1.9972590695091477
311.0,1.9966836332280566
312.0,1.9960534568565431
313.0,1.9953685576712106
314.0,1.9946289544489162
315.0,1.993834667466256
316.0,1.9929857184990087
317.0,1.992082130821539
318.0,1.99112392920616
319.0,1.9901111399224527
320.0,1.9890437907365468
321.0,1.9879219109103594
322.0,1.986745531200793
323.0,1.985514683858891
324.0,1.9842294026289558
325.0,1.982889722747621
326.0,1.9814956809428872
327.0,1.980047315433115
328.0,1.9785446659259767
329.0,1.976987773617367
330.0,1.9753766811902755
331.0,1.9737114328136147
332.0,1.9719920741410097
333.0,1.970218652309548
334.0,1.968391215938484
335.0,1.9665098151279092
336.0,1.9645745014573774
337.0,1.9625853279844905
338.0,1.9605423492434437
339.0,1.9584456212435317
340.0,1.9562952014676114
341.0,1.9540911488705275
342.0,1.9518335238774949
343.0,1.9495223883824435
344.0,1.9471578057463206
345.0,1.9447398407953531
346.0,1.9422685598192722
347.0,1.9397440305694935
348.0,1.9371663222572624
349.0,1.9345355055517537
350.0,1.9318516525781366
351.0,1.9291148369155962
352.0,1.9263251335953164
353.0,1.9234826190984227
354.0,1.9205873713538861
355.0,1.9176394697363863
356.0,1.9146389950641345
357.0,1.9115860295966605
358.0,1.9084806570325539
359.0,1.9053229625071726
360.0,1.9021130325903073
361.0,1.8988509552838078
362.0,1.8955368200191713
363.0,1.8921707176550906
364.0,1.8887527404749622
365.0,1.8852829821843566
366.0,1.881761537908451
367.0,1.8781885041894182
368.0,1.8745639789837831
369.0,1.8708880616597345
370.0,1.8671608529944037
371.0,1.863382455171098
372.0,1.859552971776503
373.0,1.85567250779784
374.0,1.8517411696199895
375.0,1.8477590650225735
376.0,1.843726303177001
377.0,1.8396429946434754
378.0,1.8355092513679623
379.0,1.8313251866791223
380.0,1.8270909152852017
381.0,1.8228065532708908
382.0,1.8184722180941373
383.0,1.8140880285829304
384.0,1.809654104932039
385.0,1.805170568699721
386.0,1.800637542804387
387.0,1.7960551515212313
388.0,1.791423520478826
389.0,1.7867427766556752
390.0,1.7820130483767358
391.0,1.7772344653098975
392.0,1.7724071584624297
393.0,1.767531260177387
394.0,1.7626069041299846
395.0,1.7576342253239308
396.0,1.752613360087727
397.0,1.7475444460709306
398.0,1.742427622240379
399.0,1.7372630288763828
400.0,1.7320508075688772
401.0,1.7267911012135435
402.0,1.7214840540078873
403.0,1.7161298114472894
404.0,1.7107285203210134
405.0,1.7052803287081846
406.0,1.6997853859737277
407.0,1.694243842764274
408.0,1.6886558510040304
409.0,1.6830215638906123
410.0,1.6773411358908485
411.0,1.6716147227365403
412.0,1.665842481420199
413.0,1.660024570190735
414.0,1.654161148549124
415.0,1.6482523772440316
416.0,1.6422984182674083
417.0,1.6362994348500468
418.0,1.6302555914571084
419.0,1.6241670537836126
420.0,1.618033988749895
421.0,1.6118565644970315
422.0,1.605634950382229
423.0,1.5993693169741812
424.0,1.5930598360483927
425.0,1.5867066805824708
426.0,1.580310024751381
427.0,1.5738700439226743
428.0,1.5673869146516797
429.0,1.5608608146766594
430.0,1.554291922913942
431.0,1.5476804194530125
432.0,1.5410264855515785
433.0,1.534330303630599
434.0,1.5275920572692847
435.0,1.5208119312000619
436.0,1.5139901113035132
437.0,1.507126784603276
438.0,1.5002221392609187
439.0,1.4932763645707827
440.0,1.4862896509547885
441.0,1.4792621899572198
442.0,1.4721941742394689
443.0,1.4650857975747575
444.0,1.4579372548428229
445.0,1.4507487420245755
446.0,1.4435204561967245
447.0,1.4362525955263783
448.0,1.4289453592656065
449.0,1.4215989477459847
450.0,1.4142135623730951
451.0,1.4067894056210077
452.0,1.3993266810267313
453.0,1.3918255931846288
454.0,1.3842863477408136
455.0,1.3767091513875078
456.0,1.3690942118573777
457.0,1.3614417379178358
458.0,1.3537519393653221
459.0,1.3460250270195466
460.0,1.338261212717716
461.0,1.330460709308722
462.0,1.3226237306473037
463.0,1.314750491588192
464.0,1.3068412079802112
465.0,1.2988960966603675
466.0,1.290915375447901
467.0,1.2828992631383163
468.0,1.2748479794973797
469.0,1.2667617452551005
470.0,1.2586407820996748
471.0,1.2504853126714102
472.0,1.242295560556621
473.0,1.2340717502814973
474.0,1.2258141073059536
475.0,1.2175228580174409
476.0,1.2091982297247499
477.0,1.200840450651768
478.0,1.192449749931232
479.0,1.1840263575984393
480.0,1.1755705045849465
481.0,1.167082422712235
482.0,1.1585623446853575
483.0,1.1500105040865574
484.0,1.1414271353688634
485.0,1.1328124738496663
486.0,1.124166755704261
487.0,1.1154902179593806
488.0,1.1067830984866882
489.0,1.098045635996264
490.0,1.0892780700300546
491.0,1.0804806409553103
492.0,1.0716535899579933
493.0,1.0627971590361656
494.0,1.0539115909933554
495.0,1.0449971294318978
496.0,1.0360540187462604
497.0,1.02708250411634
498.0,1.0180828315007429
499.0,1.0090552476300387
500.0,1.0000000000000007
501.0,0.9909173368648155
502.0,0.9818075072302812
503.0,0.9726707608469811
504.0,0.9635073482034304
505.0,0.9543175205192173
506.0,0.9451015297381082
507.0,0.9358596285211468
508.0,0.9265920702397232
509.0,0.9172991089686303
510.0,0.9079809994790937
511.0,0.8986379972317939
512.0,0.8892703583698556
513.0,0.8798783397118298
514.0,0.8704621987446551
515.0,0.8610221936165902
516.0,0.8515585831301458
517.0,0.8420716267349824
518.0,0.8325615845208024
519.0,0.8230287172102174
520.0,0.8134732861516009
521.0,0.8038955533119205
522.0,0.7942957812695621
523.0,0.7846742332071228
524.0,0.7750311729042055
525.0,0.7653668647301798
526.0,0.7556815736369342
527.0,0.7459755651516184
528.0,0.7362491053693563
529.0,0.7265024609459568
530.0,0.7167358990906004
531.0,0.7069496875585148
532.0,0.6971440946436307
533.0,0.687319389171233
534.0,0.6774758404905826
535.0,0.6676137184675415
536.0,0.6577332934771668
537.0,0.6478348363962989
538.0,0.6379186185961406
539.0,0.6279849119348103
540.0,0.618033988749895
541.0,0.6080661218509805
542.0,0.598081584512174
543.0,0.5880806504646083
544.0,0.5780635938889434
545.0,0.5680306894078452
546.0,0.5579822120784582
547.0,0.5479184373848652
548.0,0.5378396412305315
549.0,0.5277460999307465
550.0,0.5176380902050411
551.0,0.5075158891696115
552.0,0.49737977432970965
553.0,0.4872300235720457
554.0,0.4770669151571622
555.0,0.46689072771181106
556.0,0.4567017402213115
557.0,0.4465002320219025
558.0,0.4362864827930855
559.0,0.42606077254995334
560.0,0.41582338163551946
561.0,0.40557459071302465
562.0,0.39531468075825266
563.0,0.385043933051815
564.0,0.37476262917145003
565.0,0.36447105098429544
566.0,0.35416948063916687
567.0,0.34385820055881916
568.0,0.33353749343220435
569.0,0.32320764220672277
570.0,0.31286893008046196
571.0,0.3025216404944384
572.0,0.29216605712482296
573.0,0.2818024638751657
574.0,0.2714311448686089
575.0,0.261052384440104
576.0,0.25066646712860907
577.0,0.24027367766929367
578.0,0.22987430098573333
579.0,0.21946862218209043
580.0,0.20905692653530747
581.0,0.19863949948727833
582.0,0.1882166266370287
583.0,0.17778859373288286
584.0,0.16735568666463146
585.0,0.15691819145569014
586.0,0.14647639425526426
587.0,0.13603058133049697
588.0,0.12558103905862628
589.0,0.11512805391913475
590.0,0.10467191248588761
