t_s,T_K,Sw,Si,e_Pa,Cl_Pa_per_s,Ci_Pa_per_s,qi_proxy
52.0,272.63000000000045,-0.01337646782130357,0.038551086503890955,580.393,0.0,0.0,0.0
53.0,272.62000000000046,-0.01265710714598077,0.03930830826738877,580.393,0.0,0.0,0.0
54.0,272.61000000000047,-0.011937169141437578,0.04006613774585519,580.393,0.0,0.0,0.0
55.0,272.6000000000005,-0.011216653303866895,0.04082457546961385,580.393,0.0,0.0,0.0
56.0,272.5900000000005,-0.010495559128980024,0.041583621969494826,580.393,0.0,0.0,0.0
57.0,272.5800000000005,-0.009773886112025586,0.042343277776815194,580.393,0.0,0.0,0.0
58.0,272.5700000000005,-0.009051633747772247,0.043103543423397665,580.393,0.0,0.0,0.0
59.0,272.5600000000005,-0.008328801530509229,0.04386441944156919,580.393,0.0,0.0,0.0
60.0,272.5500000000005,-0.007605388954056079,0.04462590636415157,580.393,0.0,0.0,0.0
61.0,272.54000000000053,-0.006881395511754556,0.04538800472446895,580.393,0.0,0.0,0.0
62.0,272.53000000000054,-0.006156820696470712,0.04615071505634677,580.393,0.0,0.0,0.0
63.0,272.52000000000055,-0.005431664000592344,0.04691403789411347,580.393,0.0,0.0,0.0
64.0,272.51000000000056,-0.0047059249160301105,0.04767797377259991,580.393,0.0,0.0,0.0
65.0,272.50000000000057,-0.003979602934215942,0.04844252322714109,580.393,0.0,0.0,0.0
66.0,272.4900000000006,-0.003252697546103393,0.049207686793575504,580.393,0.0,0.0,0.0
67.0,272.4800000000006,-0.002525208242170719,0.049973465008241305,580.393,0.0,0.0,0.0
68.0,272.4700000000006,-0.0017971345124081824,0.05073985840799141,580.393,0.0,0.0,0.0
69.0,272.4600000000006,-0.001068475846338479,0.05150686753016998,580.393,0.0,0.0,0.0
70.0,272.4500000000006,-0.0003392317329909511,0.05227449291264119,580.393,0.0,0.0,0.0
71.0,272.4400000000006,0.00039059833907815453,0.053042735093766544,580.3476775944938,0.04532240550620372,0.0,0.0
72.0,272.43000000000063,0.0010428381763585711,0.05372930334353547,580.2267619471957,0.12091564729819312,0.0,0.0
73.0,272.42000000000064,0.0015650646904499192,0.05427901546363146,580.0454272641897,0.18133468300600272,0.0,0.0
74.0,272.41000000000065,0.0019832046552660148,0.0547191627950169,579.8158128781857,0.22961438600398199,0.0,0.0
75.0,272.40000000000066,0.0023180146205109787,0.05507159433737999,579.5476302232099,0.2681826549758171,0.0,0.0
76.0,272.39000000000067,0.002586111940126757,0.055353802042238734,579.2486484143571,0.29898180885272724,0.0,0.0
77.0,272.3800000000007,0.0028008001963896662,0.055579789680410205,578.9250827115935,0.3235657027636307,0.0,0.0
78.0,272.3700000000007,0.0029727300206510766,0.055760768442790674,578.5819052907977,0.3431774207957233,0.0,0.0
79.0,272.3600000000007,0.0031104281354068014,0.05590571382674408,578.2230938605948,0.35881143020294537,0.0,0.0
80.0,272.3500000000007,0.0032207208965786688,0.05602181147008296,577.8518305558223,0.371263304772424,0.0,0.0
81.0,272.3400000000007,0.003309073374446179,0.056114814078364474,577.4706610523041,0.38116950351820833,0.0,0.0
82.0,272.3300000000007,0.0033798608162201797,0.056189327174968565,577.0816218586691,0.3890391936349488,0.0,0.0
83.0,272.32000000000073,0.003436585974523994,0.05624903786791998,576.6863421498056,0.395279708863518,0.0,0.0
84.0,272.31000000000074,0.00348205309696849,0.05629689799680896,576.2861252336256,0.4002169161799884,0.0,0.0
85.0,272.30000000000075,0.003518507219374968,0.05633527075723688,575.882013724476,0.4041115091496522,0.0,0.0
86.0,272.29000000000076,0.003547745681635439,0.05636604808593211,575.4748416818674,0.4071720426086586,0.0,0.0
87.0,272.28000000000077,0.0035712074054958243,0.056390744637363995,575.0652763214573,0.4095653604100335,0.0,0.0
88.0,272.2700000000008,0.003590044368899961,0.05641057301989477,574.6538513838362,0.4114249376210183,0.0,0.0
89.0,272.2600000000008,0.003605178827166249,0.056426504028595996,574.2409938295579,0.41285755427838927,0.0,0.0
90.0,272.2500000000008,0.003617349123369918,0.056439314866705254,573.8270451951611,0.41394863439672913,0.0,0.0
91.0,272.2400000000008,0.003627146363366016,0.05644962775091168,573.4122786779893,0.4147665171717336,0.0,0.0
92.0,272.2300000000008,0.003635043777227732,0.05645794081813444,572.9969128040458,0.41536587394352864,0.0,0.0
93.0,272.2200000000008,0.003641420225554911,0.056464652869005205,572.581122362277,0.415790441768786,0.0,0.0
94.0,272.21000000000083,0.003646579018237867,0.05647008317709247,572.1650471519997,0.4160752102772676,0.0,0.0
95.0,272.20000000000084,0.003650762980453801,0.05647448734784617,571.7487989808433,0.41624817115648516,0.0,0.0
96.0,272.19000000000085,0.0036541665142767184,0.05647807001502818,571.3324672631023,0.4163317177409454,0.0,0.0
97.0,272.18000000000086,0.003656945255001819,0.05648099500526513,570.9161234984198,0.41634376468255146,0.0,0.0
98.0,272.17000000000087,0.0036592238018438874,0.05648339347562521,570.4998248547331,0.41629864368671865,0.0,0.0
99.0,272.1600000000009,0.0036611019070216357,0.056485370428443926,570.0836170346307,0.41620782010234053,0.0,0.0
100.0,272.1500000000009,0.0036626594306272044,0.05648700992697598,569.6675365684385,0.416080466192193,0.0,0.0
101.0,272.1400000000009,0.0036639603074361724,0.056488379270985586,569.2516126486871,0.415923919751458,0.0,0.0
102.0,272.1300000000009,0.0036650557226516117,0.05648953233963331,568.8358685976871,0.4157440510000697,0.0,0.0
103.0,272.1200000000009,0.0036659866543689826,0.05649051226775684,568.4203230415889,0.4155455560981636,0.0,0.0
104.0,272.1100000000009,0.0036667859090343353,0.05649135358845725,568.0049908496304,0.41533219195848686,0.0,0.0
105.0,272.10000000000093,0.003667479750988562,0.05649208394840897,567.5898838855354,0.41510696409497994,0.0,0.0
106.0,272.09000000000094,0.003668089207072491,0.05649272548112904,567.1750116086318,0.4148722769035885,0.0,0.0
107.0,272.08000000000095,0.0036686311110549967,0.056493295906373704,566.760381554747,0.4146300538848209,0.0,0.0
108.0,272.07000000000096,0.003669118939803545,0.056493809410319534,566.3459997209233,0.4143818338237679,0.0,0.0
109.0,272.06000000000097,0.003669563482694005,0.056494277350204236,565.9318708731909,0.41412884773237696,0.0,0.0
110.0,272.050000000001,0.003669973377547533,0.05649470881847113,565.5179987927856,0.41387208040525825,0.0,0.0
111.0,272.040000000001,0.003670355539665465,0.05649511109438471,565.1043864731245,0.4136123196611834,0.0,0.0
112.0,272.030000000001,0.0036707155053473015,0.056495490005628875,564.6910362773838,0.4133501957406907,0.0,0.0
113.0,272.020000000001,0.003671057706867948,0.0564958502177557,564.2779500645639,0.4130862128198942,0.0,0.0
114.0,272.010000000001,0.003671385692639615,0.05649619546593658,563.8651292903402,0.41282077422370095,0.0,0.0
115.0,272.000000000001,0.003671702303477186,0.05649652874050236,563.452575087743,0.4125542025971754,0.0,0.0
116.0,271.99000000000103,0.0036720098136921457,0.05649685243546548,563.0402883317028,0.4122867560402256,0.0,0.0
117.0,271.98000000000104,0.00367231004406409,0.05649716846743601,562.6282696906859,0.41201864101690266,0.0,0.0
118.0,271.97000000000105,0.0036726044522853245,0.05649747837082661,562.2165196680029,0.41175002268298616,0.0,0.0
119.0,271.96000000000106,0.003672894205365286,0.05649778337406867,561.8050386348554,0.4114810331475837,0.0,0.0
120.0,271.95000000000107,0.003673180237597819,0.0564980844606293,561.3938268567728,0.41121177808256565,0.0,0.0
121.0,271.9400000000011,0.0036734632969571356,0.05649838241784964,560.982884514764,0.41094234200879787,0.0,0.0
122.0,271.9300000000011,0.003673743982270912,0.0564986778760746,560.5722117222356,0.41067279252838496,0.0,0.0
123.0,271.9200000000011,0.0036740227729512285,0.0564989713399488,560.1618085385284,0.4104031837071943,0.0,0.0
124.0,271.9100000000011,0.0036743000528019847,0.05649926321347591,559.7516749797469,0.4101335587814674,0.0,0.0
125.0,271.9000000000011,0.0036745761291007563,0.056499553820106005,559.3418110274214,0.4098639523255542,0.0,0.0
126.0,271.8900000000011,0.003674851247846572,0.05649984341878602,558.9322166354385,0.40959439198288694,0.0,0.0
127.0,271.88000000000113,0.0036751256059854034,0.056500132216826794,558.5228917355857,0.40932489985279974,0.0,0.0
128.0,271.87000000000114,0.0036753993611874044,0.0565004203801973,558.1138362419869,0.4090554935988394,0.0,0.0
129.0,271.86000000000115,0.003675672639685242,0.056500708041774095,557.7050500546502,0.4087861873366137,0.0,0.0
130.0,271.85000000000116,0.0036759455425371787,0.05650099530793392,557.2965330623075,0.4085169923427202,0.0,0.0
131.0,271.84000000000117,0.003676218150651004,0.05650128226384315,556.8882851446846,0.4082479176229754,0.0,0.0
132.0,271.8300000000012,0.003676490528803505,0.05650156897768804,556.4803061743179,0.40797897036670755,0.0,0.0
133.0,271.8200000000012,0.0036767627288503764,0.05650185550405313,556.0725960180085,0.4077101563093038,0.0,0.0
134.0,271.8100000000012,0.0036770347923100024,0.056502141886642154,555.6651545379848,0.4074414800237946,0.0,0.0
135.0,271.8000000000012,0.003677306752423535,0.05650242816044595,555.2579815928316,0.4071729451531837,0.0,0.0
136.0,271.7900000000012,0.0036775786358032533,0.05650271435347708,554.8510770382354,0.4069045545962126,0.0,0.0
137.0,271.7800000000012,0.003677850463754885,0.056503000488163084,554.4444407275791,0.40663631065626765,0.0,0.0
138.0,271.77000000000123,0.0036781222533374446,0.05650328658246061,554.0380725124185,0.4063682151606372,0.0,0.0
139.0,271.76000000000124,0.003678394018203457,0.056503572650740644,553.6319722428634,0.4061002695550087,0.0,0.0
140.0,271.75000000000125,0.003678665769295434,0.05650385870452145,553.2261397678817,0.40583247498168473,0.0,0.0
141.0,271.74000000000126,0.003678937515363793,0.056504144753014574,552.820574935544,0.40556483233779095,0.0,0.0
142.0,271.73000000000127,0.003679209263420962,0.05650443080360103,552.4152775932178,0.4052973423261847,0.0,0.0
143.0,271.7200000000013,0.0036794810190790526,0.056504716862188546,552.0102475877244,0.40503000549333595,0.0,0.0
144.0,271.7100000000013,0.0036797527868307764,0.05650500293350624,551.6054847654636,0.4047628222607955,0.0,0.0
145.0,271.7000000000013,0.003680024570280328,0.05650528902134782,551.2009889725126,0.40449579295102467,0.0,0.0
146.0,271.6900000000013,0.003680296372307947,0.056505575128745274,550.7967600547067,0.4042289178058354,0.0,0.0
147.0,271.6800000000013,0.003680568195219941,0.056505861258126205,550.3927978577036,0.4039621970031476,0.0,0.0
148.0,271.6700000000013,0.0036808400408674434,0.05650614741143949,549.9891022270334,0.403695630670245,0.0,0.0
149.0,271.66000000000133,0.003681111910729981,0.056506433590242225,549.5856730081402,0.4034292188931204,0.0,0.0
150.0,271.65000000000134,0.003681383805998837,0.0565067197957884,549.1825100464144,0.4031629617257522,0.0,0.0
151.0,271.64000000000135,0.003681655727618941,0.05650700602907262,548.7796131872196,0.40289685919481144,0.0,0.0
152.0,271.63000000000136,0.003681927676358103,0.056507292290903385,548.3769822759123,0.4026309113073239,0.0,0.0
153.0,271.62000000000137,0.0036821996528218883,0.05650757858191789,547.9746171578599,0.40236511805237574,0.0,0.0
154.0,271.6100000000014,0.003682471657506818,0.05650786490263892,547.572517678453,0.40209947940697927,0.0,0.0
155.0,271.6000000000014,0.0036827436908005154,0.056508151253474276,547.1706836831169,0.40183399533614195,0.0,0.0
156.0,271.5900000000014,0.0036830157530211927,0.0565084376347591,546.7691150173197,0.4015686657972083,0.0,0.0
157.0,271.5800000000014,0.0036832878444230037,0.05650872404676107,546.3678115265792,0.4013034907404745,0.0,0.0
158.0,271.5700000000014,0.003683559965207495,0.05650901048969209,545.9667730564687,0.4010384701104613,0.0,0.0
159.0,271.5600000000014,0.0036838321155424603,0.056509296963728896,545.5659994526208,0.4007736038479834,0.0,0.0
160.0,271.55000000000143,0.0036841042955586428,0.056509583469009216,545.165490560731,0.4005088918898082,0.0,0.0
161.0,271.54000000000144,0.003684376505361965,0.05650987000564427,544.765246226561,0.40024433416999733,0.0,0.0
162.0,271.53000000000145,0.003684648745040145,0.05651015657372648,544.3652662959404,0.3999799306206342,0.0,0.0
163.0,271.52000000000146,0.0036849210146607226,0.05651044317332711,543.9655506147687,0.39971568117161954,0.0,0.0
164.0,271.51000000000147,0.0036851933142854976,0.05651072980451112,543.5660990290165,0.3994515857522402,0.0,0.0
165.0,271.5000000000015,0.0036854656439559634,0.05651101646732209,543.166911384727,0.3991876442896001,0.0,0.0
166.0,271.4900000000015,0.0036857380037157816,0.05651130316180625,542.767987528016,0.3989238567110533,0.0,0.0
167.0,271.4800000000015,0.0036860103935896895,0.056511589887989114,542.3693273050741,0.39866022294193043,0.0,0.0
168.0,271.4700000000015,0.003686282813607277,0.05651187664590255,541.970930562166,0.39839674290810767,0.0,0.0
169.0,271.4600000000015,0.00368655526379223,0.05651216343557083,541.5727971456312,0.3981334165348472,0.0,0.0
170.0,271.4500000000015,0.003686827744160827,0.05651245025701145,541.1749269018845,0.39787024374663815,0.0,0.0
171.0,271.44000000000153,0.00368710025472677,0.05651273711023881,540.7773196774168,0.39760722446771984,0.0,0.0
172.0,271.43000000000154,0.0036873727955052003,0.05651302399526869,540.3799753187943,0.39734435862251305,0.0,0.0
173.0,271.42000000000155,0.0036876453665086752,0.05651331091211445,539.9828936726591,0.3970816461351888,0.0,0.0
174.0,271.41000000000156,0.003687917967746523,0.05651359786078582,539.5860745857295,0.39681908692959955,0.0,0.0
175.0,271.40000000000157,0.0036881905992294955,0.056513884841294215,539.1895179047998,0.39655668092977975,0.0,0.0
176.0,271.3900000000016,0.003688463260960856,0.05651417185364304,538.7932234767408,0.3962944280589909,0.0,0.0
177.0,271.3800000000016,0.003688735952953138,0.05651445889784547,538.3971911484992,0.39603232824151746,0.0,0.0
178.0,271.3700000000016,0.003689008675208613,0.0565147459739038,538.0014207670987,0.3957703814005754,0.0,0.0
179.0,271.3600000000016,0.003689281427739473,0.05651503308183108,537.6059121796383,0.395508587460472,0.0,0.0
180.0,271.3500000000016,0.00368955421054529,0.056515320221626655,537.2106652332941,0.39524694634419577,0.0,0.0
181.0,271.3400000000016,0.0036898270236351335,0.056515607393300214,536.8156797753184,0.3949854579757812,0.0,0.0
182.0,271.33000000000163,0.0036900998670173703,0.05651589459686045,536.4209556530392,0.3947241222792172,0.0,0.0
183.0,271.32000000000164,0.0036903727406898427,0.056516181832305154,536.0264927138618,0.39446293917740155,0.0,0.0
184.0,271.31000000000165,0.0036906456446641773,0.05651646909964661,535.6322908052671,0.3942019085947322,0.0,0.0
185.0,271.30000000000166,0.0036909185789444645,0.05651675639888891,535.2383497748123,0.39394103045483464,0.0,0.0
186.0,271.29000000000167,0.0036911915435310773,0.05651704373003276,534.8446694701313,0.3936803046809701,0.0,0.0
187.0,271.2800000000017,0.0036914645384324325,0.056517331093086785,534.451249738934,0.3934197311972866,0.0,0.0
188.0,271.2700000000017,0.0036917375636521684,0.056517618488054935,534.0580904290066,0.39315930992745507,0.0,0.0
189.0,271.2600000000017,0.0036920106191981315,0.05651790591494551,533.6651913882109,0.3928990407956235,0.0,0.0
190.0,271.2500000000017,0.003692283705071663,0.056518193373759726,533.2725524644857,0.39263892372528064,0.0,0.0
191.0,271.2400000000017,0.0036925568212768066,0.05651848086450191,532.8801735058454,0.39237895864023364,0.0,0.0
192.0,271.2300000000017,0.0036928299678186008,0.05651876838717752,532.4880543603809,0.39211914546442583,0.0,0.0
193.0,271.22000000000173,0.0036931031447037287,0.05651905594179348,532.0961948762589,0.39185948412200566,0.0,0.0
194.0,271.21000000000174,0.0036933763519372957,0.05651934352835516,531.7045949017219,0.3915999745369846,0.0,0.0
195.0,271.20000000000175,0.003693649589518947,0.05651963114686212,531.313254285089,0.3913406166328287,0.0,0.0
196.0,271.19000000000176,0.003693922857457932,0.05651991879732422,530.9221728747549,0.3910814103340499,0.0,0.0
197.0,271.18000000000177,0.003694196155758909,0.0565202064797463,530.5313505191901,0.39082235556470557,0.0,0.0
198.0,271.1700000000018,0.003694469484421062,0.056520494194127545,530.1407870669418,0.3905634522483069,0.0,0.0
199.0,271.1600000000018,0.0036947428434555758,0.056520781940479554,529.7504823666321,0.3903047003096617,0.0,0.0
200.0,271.1500000000018,0.003695016232862339,0.056521069718802525,529.3604362669597,0.3900460996724178,0.0,0.0
201.0,271.1400000000018,0.003695289652647636,0.056521357529102874,528.9706486166988,0.3897876502609279,0.0,0.0
202.0,271.1300000000018,0.0036955631028170307,0.05652164537138642,528.5811192646993,0.3895293519994994,0.0,0.0
203.0,271.1200000000018,0.0036958365833723293,0.05652193324565513,528.1918480598872,0.3892712048120757,0.0,0.0
204.0,271.11000000000183,0.00369611009432002,0.056522221151915825,527.802834851264,0.38901320862312333,0.0,0.0
205.0,271.10000000000184,0.0036963836356647857,0.05652250909017352,527.4140794879071,0.38875536335694966,0.0,0.0
206.0,271.09000000000185,0.003696657207411013,0.05652279706043273,527.0255818189693,0.38849766893786186,0.0,0.0
207.0,271.08000000000186,0.0036969308095619255,0.05652308506269687,526.6373416936792,0.38824012529007634,0.0,0.0
208.0,271.07000000000187,0.0036972044421224037,0.05652337309697102,526.2493589613412,0.3879827323380141,0.0,0.0
209.0,271.0600000000019,0.003697478105098775,0.05652366116326194,525.8616334713349,0.38772549000627804,0.0,0.0
210.0,271.0500000000019,0.0036977517984914145,0.056523949261569985,525.4741650731161,0.3874683982188799,0.0,0.0
211.0,271.0400000000019,0.0036980255223101953,0.05652423739190549,525.0869536162152,0.3872114569008545,0.0,0.0
212.0,271.0300000000019,0.0036982992765555544,0.0565245255542691,524.6999989502389,0.38695466597628186,0.0,0.0
213.0,271.0200000000019,0.0036985730612352557,0.05652481374866874,524.3133009248688,0.3866980253700376,0.0,0.0
214.0,271.0100000000019,0.003698846876351101,0.05652510197510647,523.9268593898624,0.38644153500640643,0.0,0.0
215.0,271.00000000000193,0.00369912072190852,0.05652539023358796,523.5406741950524,0.3861851948100821,0.0,0.0
216.0,270.99000000000194,0.0036993945979100253,0.056525678524115885,523.1547451903468,0.3859290047054856,0.0,0.0
217.0,270.98000000000195,0.0036996685043646114,0.056525966846699686,522.7690722257291,0.3856729646177428,0.0,0.0
218.0,270.97000000000196,0.003699942441274858,0.056526255201341954,522.3836551512578,0.3854170744713429,0.0,0.0
219.0,270.96000000000197,0.0037002164086426047,0.056526543588044945,521.9984938170671,0.3851613341907296,0.0,0.0
220.0,270.950000000002,0.0037004904064764027,0.05652683200681732,521.613588073366,0.3849057437010743,0.0,0.0
221.0,270.940000000002,0.0037007644347783757,0.056527120457661506,521.2289377704391,0.38465030292691155,0.0,0.0
222.0,270.930000000002,0.0037010384935531964,0.056527408940582384,492.95721956410694,0.3843950117930718,27.88732319453908,2.788732319453908e-11
223.0,270.920000000002,-0.05003937316294101,-4.144543467469621e-05,492.97765123714737,0.0,-0.02043167304043436,2.788732319453908e-11
