t_s,T_K,Sw,Si,e_Pa,dqcloud_dt,dqice_dt,qcloud,qice,Ncloud,Nice,ice_active
338.0,269.77000000000305,0.0037330373167936415,0.11525893035199286,477.9477768075184,0.0007466074633587284,0.0,0.19484472895101956,0.0,500003000.0,0.0,0
339.0,269.76000000000306,0.003733314972389934,0.11525923885821099,477.5922382267899,0.0007466629944779869,0.0,0.19559139194549754,0.0,500003000.0,0.0,0
340.0,269.75000000000307,0.0037335926589991963,0.115259547398888,477.23693779893136,0.0007467185317998394,0.0,0.19633811047729738,0.0,500003000.0,0.0,0
341.0,269.7400000000031,0.0037338703766238712,0.11525985597402655,476.8818753830323,0.0007467740753247743,0.0,0.19708488455262216,0.0,500003000.0,0.0,0
342.0,269.7300000000031,0.0037341481252737285,0.11526016458363753,476.5270508382533,0.0007468296250547458,0.0,0.1978317141776769,0.0,500003000.0,0.0,0
343.0,269.7200000000031,0.0037344259049512107,0.11526047322772359,476.17246402382654,0.0007468851809902422,0.0,0.19857859935866715,0.0,500003000.0,0.0,0
344.0,269.7100000000031,0.003734703715656318,0.11526078190628475,475.81811479905633,0.0007469407431312636,0.0,0.1993255401017984,0.0,500003000.0,0.0,0
345.0,269.7000000000031,0.003734981557400374,0.11526109061933365,475.4640030233177,0.0007469963114800749,0.0,0.20007253641327846,0.0,500003000.0,0.0,0
346.0,269.6900000000031,0.003735259430184046,0.11526139936687119,475.1101285560574,0.0007470518860368092,0.0,0.20081958829931526,0.0,500003000.0,0.0,0
347.0,269.68000000000313,0.003735537334013772,0.11526170814890402,474.75649125679365,0.0007471074668027544,0.0,0.20156669576611802,0.0,500003000.0,0.0,0
348.0,269.67000000000314,0.0037358152688928836,0.11526201696543659,474.40309098511597,0.0007471630537785768,0.0,0.2023138588198966,0.0,500003000.0,0.0,0
349.0,269.66000000000315,0.0037360932348264875,0.115262325816474,474.0499276006853,0.0007472186469652975,0.0,0.20306107746686192,0.0,500003000.0,0.0,0
350.0,269.65000000000316,0.0037363712318185804,0.1152626347020207,473.69700096323385,0.0007472742463637161,0.0,0.20380835171322564,0.0,500003000.0,0.0,0
351.0,269.64000000000317,0.0037366492598747136,0.11526294362208289,473.34431093256507,0.0007473298519749428,0.0,0.2045556815652006,0.0,500003000.0,0.0,0
352.0,269.6300000000032,0.00373692731899955,0.11526325257666614,472.9918573685537,0.0007473854637999101,0.0,0.2053030670290005,0.0,500003000.0,0.0,0
