t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,ice_active
751.0,265.6400000000068,348.78538234080645,0.0009046310815785663,0.11211625675730974,500003000.0,1.1178343133300448,9.428085418529575e-06,1.636075292470548e-05,3.7224934003544244e-09,2.5235115432682407e-07,0.001755220752854738,1.8803783402447804e-11,2.0790427892684214e-06,8.70098668898155e-13,1
752.0,265.6300000000068,348.5175523129219,0.000904209995331362,0.11211578888370144,500003000.0,1.1221799286516565,9.43180254432155e-06,1.6609071624571152e-05,3.717125791974298e-09,2.483186998656719e-07,0.0017572976164021334,1.974951866311379e-11,2.0776822659532877e-06,8.858125682609664e-13,1
753.0,265.6200000000068,348.24990814150703,0.0009037898448882586,0.11211532204987584,500003000.0,1.12653753542237,9.43551431543202e-06,1.6853539757704535e-05,3.7117711104693424e-09,2.444681331333832e-07,0.0017593731222521642,2.0714621455948678e-11,2.076322532953359e-06,9.014245509318857e-13,1
754.0,265.61000000000683,347.9824497109281,0.0009033706271592834,0.11211485625239925,500003000.0,1.1309071286497303,9.439220744738171e-06,1.709432580939986e-05,3.706429306152098e-09,2.4078605169532775e-07,0.0017614472711879423,2.1699054871326686e-11,2.074963589810737e-06,9.169410609538015e-13,1
755.0,265.60000000000684,347.7151769056207,0.000902952339071561,0.11211439148785751,500003000.0,1.1352887030132948,9.442921845067781e-06,1.733158620954778e-05,3.7011003296092907e-09,2.3726040014791764e-07,0.0017635200639921612,2.2702788146011175e-11,2.073605436072674e-06,9.323680824485642e-13,1
756.0,265.59000000000685,347.4480896100904,0.0009025349775648728,0.11211392775284978,500003000.0,1.1396822528630564,9.446617629199463e-06,1.7565466510147863e-05,3.6957841316821874e-09,2.3388030060008288e-07,0.0017655915014470837,2.3725796210443402e-11,2.072248071281582e-06,9.477111831562907e-13,1
757.0,265.58000000000686,347.1811877089127,0.0009021185395938769,0.112113465043993,500003000.0,1.144087772217879,9.450308109862938e-06,1.779610241870132e-05,3.690480663474314e-09,2.306359085534597e-07,0.0017676615843345476,2.4768059279991913e-11,2.070891494980358e-06,9.629755528621672e-13,1
758.0,265.57000000000687,346.91447108673293,0.0009017030221287747,0.11211300335792074,500003000.0,1.148505254763941,9.45399329973929e-06,1.8023620708499864e-05,3.6851898763527825e-09,2.275182897985422e-07,0.0017697303134359642,2.5829562484839837e-11,2.0695357067141254e-06,9.781660374195377e-13,1
759.0,265.5600000000069,346.64793962826485,0.0009012884221584194,0.11211254269128723,500003000.0,1.1529346938531955,9.45767321146125e-06,1.8248140023294753e-05,3.679911721959561e-09,2.2451931479488896e-07,0.001771797689532331,2.6910295533949996e-11,2.0681807060375846e-06,9.932871689658708e-13,1
760.0,265.5500000000069,346.3815932182915,0.0009008747366836545,0.11211208304075959,500003000.0,1.1573760825018375,9.461347857613433e-06,1.8469771590966378e-05,3.6746461521828506e-09,2.216315676716258e-07,0.001773863713404222,2.801025240918449e-11,2.0668264924999225e-06,1.0083431928354472e-12,1
761.0,265.5400000000069,346.1154317416661,0.0009004619627166477,0.11211162440301847,500003000.0,1.161829413388788,9.465017250732586e-06,1.8688619858479284e-05,3.669393119153069e-09,2.1884826751290806e-07,0.0017759283858317851,2.912943108619061e-11,2.0654730656435066e-06,1.0233380915964866e-12,1
762.0,265.5300000000069,345.8494550833098,0.0009000500972915493,0.11211116677476851,500003000.0,1.1662946788541875,9.468681403307871e-06,1.8904783058492703e-05,3.664152575284927e-09,2.1616320001341937e-07,0.0017779917075947563,3.0267833279115824e-11,2.0641204250285443e-06,1.038275606576785e-12,1
763.0,265.5200000000069,345.58366312821437,0.0008996391374471724,0.112110710152719,500003000.0,1.1707718708979038,9.472340327781076e-06,1.911835371641823e-05,3.6589244732055224e-09,2.1357065792552426e-07,0.001780053679472439,3.1425464206596016e-11,2.062768570193557e-06,1.0531592571886651e-12,1
764.0,265.5100000000069,345.3180557614388,0.0008992290802485314,0.11211025453360968,500003000.0,1.175260981178053,9.475994036546918e-06,1.932941910540918e-05,3.653708765840674e-09,2.1106538899095268e-07,0.0017821143022437327,3.260233237678709e-11,2.061417500704985e-06,1.0679923583207801e-12,1
765.0,265.50000000000693,345.0526328681121,0.0008988199227648597,0.11210979991418313,500003000.0,1.179762001009534,9.479642541953241e-06,1.953806165567819e-05,3.648505406324153e-09,2.0864255026900846e-07,0.0017841735766871087,3.37984493894859e-11,2.060067216106974e-06,1.0827780360255354e-12,1
766.0,265.49000000000694,344.78739433343253,0.0008984116620813776,0.1121093462912015,500003000.0,1.1842749213625745,9.483285856301285e-06,1.974435932363043e-05,3.6433143480443006e-09,2.0629766795223912e-07,0.0017862315035806161,3.5013829753625215e-11,2.0587177159485755e-06,1.0975192417012977e-12,1
767.0,265.48000000000695,344.52234004266495,0.0008980042953077305,0.11210889366145316,500003000.0,1.1887997328612931,9.486923991845962e-06,1.9948385925536692e-05,3.6381355446768324e-09,2.0402660190626343e-07,0.0017882880837019077,3.624849071863131e-11,2.0573689998032717e-06,1.112218764940618e-12,1
768.0,265.47000000000696,344.25746988114577,0.0008975978195482348,0.11210844202172021,500003000.0,1.193336425782275,9.490556960796025e-06,2.0150211439827203e-05,3.6329689500629602e-09,2.0182551429051097e-07,0.001790343317828191,3.750245211830854e-11,2.0560210672009833e-06,1.1268792451933384e-12,1
769.0,265.46000000000697,343.9927837342772,0.0008971922319422898,0.11210799136882477,500003000.0,1.1978849900531594,9.494184775314396e-06,2.034990228154313e-05,3.6278145183718583e-09,1.9969084171592502e-07,0.0017923972067362837,3.877573622606891e-11,2.0546739177208807e-06,1.1415031823756589e-12,1
